curso_sigla,periodo,codigo,CorDisciplina,nome,abreviacao,ch
EP,VIII,EP05055,#fff9fc,EXTENSAO PESQUEIRA E AQUICOLA,Exten Pesqu Aqui,60
EP,VIII,EP05058,#d89663,LIBRAS,Libra,30
EP,VIII,EP05053,#f1eeff,NUTRICAO DE ORGANISMOS AQUATICOS,Nutr Organ Aqua,60
EP,VIII,EP05056,#fffbf8,SISTEMAS DE NAVEGACAO,Siste Naveg,60
EP,VIII,EP05072,#d6d874,TOPICOS ESPECIAIS EM TECNOLOGIA E ORDENAMENTO PESQUEIRO,TE Orden. Pesq,30
EP,IX,EP05059,#8bcc7f,ESTAGIO SUPERVISIONADO OBRIGATORIO EM TECNOLOGIA E ORDENAMENTO PESQUEIRO,ESO Ord Pesq,90
EP,IX,EP05060,#5cc0be,GERENCIAMENTO COSTEIRO,Geren Coste,60
EP,IX,EP05061,#61a0e5,SISTEMAS DE PESCA,Siste Pesca,45
EP,IX,EP05062,#7b70e5,ADMINISTRACAO E LEGISLACAO PESQUEIRA E AQUICOLA,Admin Leg Pesq,60
EP,IX,EP05063,#d884d8,AVALIACAO DE ESTOQUES PESQUEIROS,Avali Estoq Pesq,45
EP,IX,EP05064,#a079a2,PARASITOLOGIA DE ORGANISMOS AQUATICOS,Parasitologia,45
EP,IX,EP05065,#d8a38f,ESTAGIO SUPERVISIONADO OBRIGATORIO DE EXTENSAO PESQUEIRA,ESO Ext Pesq,90
EP,IX,EP05066,#ffb7b7,MARKETING,Marketing,30
EP,X,EP05067,#ffdbb0,TRABALHO DE CONCLUSAO DE CURSO,TCC,180
EP,X,EP05068,#fdffc0,ATIVIDADES COMPLEMENTARES,Ativ. Compl,120
CB,I,CBBR001,#ffadad,BIOLOGIA CELULAR E MOLECULAR,Biol Celu Mole,75
CB,I,CBBR003,#ffd6a5,ECOLOGIA GERAL,Ecol Gera,75
CB,I,CBBR004,#fdffb6,MATEMATICA BASICA,Mate Basi,30
CB,I,CBBR005,#caffbf,DIDATICA APLICADA A FORMACAO DOCENTE,Dida Form Doce,60
CB,I,CBBR006,#9bf6ff,INICIACAO A COMPUTACAO,Inic Comp,30
CB,I,CBBR007,#a0c4ff,BIOLOGIA EVOLUTIVA DO DESENVOLVIMENTO,Biol Evol Dese,45
CB,I,CBBR008,#bdb2ff,FILOSOFIA E HISTORIA DA CIENCIA,Filo Hist Cien,30
CB,I,CBBR066,#ffc6ff,AVALIACAO NO PROCESSO EDUCACIONAL,Aval Proc Educ,30
CB,I,CBBR067,#e0bbe4,DIVERSIDADE DE ALGAS,Dive Alga,30
CB,I,CBBR073,#ffdfd3,TEMAS CONTEMPORANEOS PARA A EDUCACAO,Tema Cont Educ,30
CB,I,CBBR074,#ffc2c2,TEMAS SOCIOAMBIENTAIS E CULTURAIS,Tema Soci Cult,30
CB,I,CBBR080,#ffe2b9,TOPICOS ESPECIAIS: ENSINO DE ECOLOGIA,TE  Ensi Ecol,30
CB,I,CBBR082,#feffcc,TOPICOS ESPECIAIS: ENSINO EM EDUCACAO,TE  Ensi Educ,30
CB,II,CBBR010,#d9ffcf,SISTEMATICA BIOLOGICA,Sist Biol,30
CB,II,CBBR011,#adf9ff,VIRUS E PROCARIONTES,Viru Proc,60
CB,II,CBBR012,#b4d1ff,QUIMICA BASICA,Quim Basi,30
CB,II,CBBR013,#ccc6ff,BIOQUIMICA,Bioq,75
CB,II,CBBR014,#ffd3ff,"PLANEJAMENTO, GESTAO E AVALIACAO",Plan Gest Aval,60
CB,II,CBBR015,#eccfe9,BIOFISICA,Biof,45
CB,II,CBBR017,#ffe8de,MATEMATICA APLICADA A BIOLOGIA,Mate Biol,30
CB,III,CBBR018,#f29898,INTRODUCAO AOS EUCARIONTES,Intr Euca,45
CB,III,CBBR020,#f2c08f,DIVERSIDADE DE FUNGOS,Dive Fung,45
CB,III,CBBR021,#f0f2a0,GENETICA GERAL,Gene Gera,75
CB,III,CBBR022,#b7f2ab,BIOESTATISTICA I,Bioe,45
CB,III,CBBR023,#88e0ea,METODOLOGIA CIENTIFICA,Meto Cien,15
CB,III,CBBR024,#8daeda,FISICA BASICA,Fisi Basi,30
CB,III,CBBR025,#a79cea,LIBRAS I,Libr,45
CB,IV,CBBR026,#f2b0f2,MORFOLOGIA VEGETAL,Morf Vege,75
CB,IV,CBBR028,#cba5d0,INTRODUCAO A GEOLOGIA,Intr Geol,45
CB,IV,CBBR029,#f2c9bb,GEOMORFOLOGIA COSTEIRA,Geom Cost,60
CB,IV,CBBR030,#ffd7d7,"SOCIOLOGIA, EDUCACAO E CIDADANIA",Soci Educ Cida,45
CB,IV,CBBR031,#ffefcd,HISTORIAS DE VIDA E FORMACAO DOCENTE,Historia Vida Form,30
CB,IV,CBBR032,#feffd9,PSICOLOGIA DA APRENDIZAGEM,Psic Apre,45
CB,IV,CBBR033,#e3ffdd,LIBRAS II,Libra II,45
CB,V,CBBR034,#c0fcff,DIVERSIDADE ANIMAL I,Dive Anim,60
CB,V,CBBR035,#c9deff,EDUCACAO DO CAMPO,Educ Camp,45
CB,V,CBBR036,#dcd5ff,EVOLUCAO E BIOGEOGRAFIA,Evol Biog,75
CB,V,CBBR037,#ffe0ff,ESTAGIO I: ESPACOS NAO FORMAIS,Esta I: Espa Nao Form,60
CB,V,CBBR038,#f9e6ef,EDUCACAO ESPECIAL E INCLUSIVA,Educ Espe Incl,45
CB,V,CBBR039,#fff2ec,PALEONTOLOGIA GERAL,Pale Gera,45
CB,V,CBBR040,#e58383,DIVERSIDADE VEGETAL I,Dive Vege,60
CB,VI,CBBR041,#e5ac79,DIVERSIDADE ANIMAL II,Dive Anim Ii,60
CB,VI,CBBR043,#e3e58a,BIOLOGIA DE AGUA DOCE,Biol Agua Doce,60
CB,VI,CBBR044,#a1e595,ELABORACAO DE PROJETOS DE TCC,Elab Proj Tcc,30
CB,VI,CBBR045,#72cbd4,IMUNOLOGIA,Imun,30
CB,VI,CBBR046,#77b2f2,DIVERSIDADE VEGETAL II,Dive Vege Ii,45
CB,VI,CBBR047,#9186f2,ESTAGIO II: CARACTERIZACAO ESCOLAR,Esta Ii: Cara Esco,45
CB,VI,CBBR048,#e59ae5,HISTOLOGIA,Histologia,30
CB,VII,CBBR049,#b68fb9,ESTAGIO III: ENSINO FUNDAMENTAL,Esta Iii: Ensi Fund,105
CB,VII,CBBR050,#e5b9a5,DIVERSIDADE VEGETAL III,Dive Vege Iii,30
CB,VII,CBBR051,#ffeded,DIVERSIDADE ANIMAL III,Dive Anim Iii,45
CB,VII,CBBR052,#fffcf1,BIOLOGIA MARINHA,Biol Mari,60
CB,VII,CBBR053,#feffe6,ECOLOGIA DE POPULACOES,Ecol Popu,75
CB,VII,CBBR054,#f1ffeb,BIOESTATISTICA II,Bioe Ii,60
CB,VIII,CBBR055,#e1fdff,MORFOFISIOLOGIA ANIMAL I,Morf Anim,75
CB,VIII,CBBR056,#e6f0ff,ECOLOGIA DE COMUNIDADES,Ecol Comu,75
CB,VIII,CBBR058,#f1eeff,DIVERSIDADE ANIMAL IV,Dive Anim Iv,45
CB,VIII,CBBR059,#fff1ff,EDUCACAO E SAUDE HUMANA,Educ Saud Huma,45
CB,VIII,CBBR060,#fff9fc,FISIOLOGIA VEGETAL,Fisi Vege,75
CB,IX,CBBR009,#fffbf8,TRABALHO DE CONCLUSAO DE CURSO (TCC),Trab Conc Curs (tcc,60
CB,IX,CBBR061,#d86e6e,BIOLOGIA DA CONSERVACAO,Biol Cons,60
CB,IX,CBBR062,#d89663,MORFOFISIOLOGIA ANIMAL II,Morf Anim Ii,75
CB,IX,CBBR063,#d6d874,ESTAGIO V: ENSINO MEDIO,Esta V: Ensi Medi,120
